,FEATURE,0-1.2 BEFORE,0-1.2 IN,0-1.2 AFTER,1.2-1.4 BEFORE,1.2-1.4 IN,1.2-1.4 AFTER,1.4-1.6 BEFORE,1.4-1.6 IN,1.4-1.6 AFTER,1.6-1.8 BEFORE,1.6-1.8 IN,1.6-1.8 AFTER,1.8-2.0 BEFORE,1.8-2.0 IN,1.8-2.0 AFTER,2.0-inf BEFORE,2.0-inf IN,2.0-inf AFTER
0,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,CDS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,gene,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
