,start,end,lenght,feature
0,32,1189,1157,gene
1,32,1189,1157,CDS
2,1221,1541,320,gene
3,1221,1541,320,CDS
4,1534,1824,290,gene
5,1534,1824,290,CDS
6,1906,2706,800,gene
7,1906,2706,800,CDS
8,2706,2996,290,gene
9,2706,2996,290,CDS
10,2980,3348,368,gene
11,2980,3348,368,CDS
12,3383,4696,1313,gene
13,3383,4696,1313,CDS
14,4720,5517,797,gene
15,4720,5517,797,CDS
16,5643,6044,401,gene
17,5643,6044,401,CDS
18,6144,6503,359,gene
19,6144,6503,359,CDS
20,6559,8520,1961,gene
21,6559,8520,1961,CDS
22,8724,9557,833,gene
23,8724,9557,833,CDS
24,9617,11959,2342,gene
25,9617,11959,2342,CDS
26,11945,12643,698,gene
27,11945,12643,698,CDS
28,12649,13704,1055,gene
29,12649,13704,1055,CDS
30,13815,14225,410,gene
31,13815,14225,410,CDS
32,14217,14786,569,gene
33,14217,14786,569,CDS
34,14871,15932,1061,gene
35,14871,15932,1061,CDS
36,15963,16613,650,gene
37,15963,16613,650,CDS
38,16616,17254,638,gene
39,16616,17254,638,CDS
40,17251,17970,719,gene
41,17251,17970,719,CDS
42,17980,19908,1928,gene
43,17980,19908,1928,CDS
44,19939,20592,653,gene
45,19939,20592,653,CDS
46,20772,21659,887,gene
47,20772,21659,887,CDS
48,21622,22146,524,gene
49,21622,22146,524,CDS
50,22195,23814,1619,gene
51,22195,23814,1619,CDS
52,23811,26846,3035,gene
53,23811,26846,3035,CDS
54,26833,27501,668,gene
55,26833,27501,668,CDS
56,27498,28505,1007,gene
57,27498,28505,1007,CDS
58,28616,29668,1052,gene
59,28616,29668,1052,CDS
60,29625,30851,1226,gene
61,29625,30851,1226,CDS
62,30848,31507,659,gene
63,30848,31507,659,CDS
64,31566,31919,353,gene
65,31566,31919,353,CDS
66,32008,32250,242,gene
67,32008,32250,242,CDS
68,32269,33882,1613,gene
69,32269,33882,1613,CDS
70,34111,34881,770,gene
71,34111,34881,770,CDS
72,34855,35847,992,gene
73,34855,35847,992,CDS
74,35847,36569,722,gene
75,35847,36569,722,CDS
76,36601,37551,950,gene
77,36601,37551,950,CDS
78,37538,38041,503,gene
79,37538,38041,503,CDS
80,38089,38757,668,gene
81,38089,38757,668,CDS
82,38741,39001,260,gene
83,38741,39001,260,CDS
84,39046,39591,545,gene
85,39046,39591,545,CDS
86,39571,40020,449,gene
87,39571,40020,449,CDS
88,40157,41233,1076,gene
89,40157,41233,1076,CDS
90,41275,41595,320,gene
91,41275,41595,320,CDS
92,41766,42425,659,gene
93,41766,42425,659,CDS
94,42533,43492,959,gene
95,42533,43492,959,CDS
96,43486,44283,797,gene
97,43486,44283,797,CDS
98,44315,45034,719,gene
99,44315,45034,719,CDS
100,45031,46152,1121,gene
101,45031,46152,1121,CDS
102,46206,47255,1049,gene
103,46206,47255,1049,CDS
104,47244,48431,1187,gene
105,47244,48431,1187,CDS
106,48488,49069,581,gene
107,48488,49069,581,CDS
108,49114,49767,653,gene
109,49114,49767,653,CDS
110,49735,50331,596,gene
111,49735,50331,596,CDS
112,50472,50906,434,gene
113,50472,50906,434,CDS
114,50894,51910,1016,gene
115,50894,51910,1016,CDS
116,51915,52697,782,gene
117,51915,52697,782,CDS
118,52718,53254,536,gene
119,52718,53254,536,CDS
120,53228,55087,1859,gene
121,53228,55087,1859,CDS
122,55217,56476,1259,gene
123,55217,56476,1259,CDS
124,56469,58691,2222,gene
125,56469,58691,2222,CDS
126,58725,58967,242,gene
127,58725,58967,242,CDS
128,58964,59881,917,gene
129,58964,59881,917,CDS
130,59895,60947,1052,gene
131,59895,60947,1052,CDS
132,60924,61973,1049,gene
133,60924,61973,1049,CDS
134,61987,63220,1233,gene
135,61987,63220,1233,CDS
136,63348,64337,989,gene
137,63348,64337,989,CDS
138,64426,65283,857,gene
139,64426,65283,857,CDS
140,65283,65663,380,gene
141,65283,65663,380,CDS
142,65664,66587,923,gene
143,65664,66587,923,CDS
144,66679,67905,1226,gene
145,66679,67905,1226,CDS
146,67957,69705,1748,gene
147,67957,69705,1748,CDS
148,69746,70342,596,gene
149,69746,70342,596,CDS
150,70339,70812,473,gene
151,70339,70812,473,CDS
152,70904,71494,590,gene
153,70904,71494,590,CDS
154,71584,72951,1367,gene
155,71584,72951,1367,CDS
156,72979,73293,314,gene
157,72979,73293,314,CDS
158,73391,74749,1358,gene
159,73391,74749,1358,CDS
160,74733,76136,1403,gene
161,74733,76136,1403,CDS
162,76182,76544,362,gene
163,76182,76544,362,CDS
164,76591,76818,227,gene
165,76591,76818,227,CDS
166,76838,77179,341,gene
167,76838,77179,341,CDS
168,77325,77615,290,gene
169,77325,77615,290,CDS
170,77748,78611,863,gene
171,77748,78611,863,CDS
172,78608,80230,1622,gene
173,78608,80230,1622,CDS
174,80426,81790,1364,gene
175,80426,81790,1364,CDS
176,81815,82186,371,gene
177,81815,82186,371,CDS
178,82254,83168,914,gene
179,82254,83168,914,CDS
180,83155,85011,1856,gene
181,83155,85011,1856,CDS
182,85297,85575,278,gene
183,85297,85575,278,CDS
184,85576,85980,404,gene
185,85576,85980,404,CDS
186,86148,87023,875,gene
187,86148,87023,875,CDS
188,87084,88748,1664,gene
189,87084,88748,1664,CDS
190,89028,89270,242,gene
191,89028,89270,242,CDS
192,89350,90123,773,gene
193,89350,90123,773,CDS
194,90187,90999,812,gene
195,90187,90999,812,CDS
196,90981,91907,926,gene
197,90981,91907,926,CDS
198,91963,92352,389,gene
199,91963,92352,389,CDS
200,92550,94139,1589,gene
201,92550,94139,1589,CDS
202,94118,95284,1166,gene
203,94118,95284,1166,CDS
204,95509,96273,764,gene
205,95509,96273,764,CDS
206,96340,99750,3410,gene
207,96340,99750,3410,CDS
208,99793,100629,836,gene
209,99793,100629,836,CDS
210,100625,101530,905,gene
211,100625,101530,905,CDS
212,101569,102291,722,gene
213,101569,102291,722,CDS
214,102278,103108,830,gene
215,102278,103108,830,CDS
216,103223,103825,602,gene
217,103223,103825,602,CDS
218,103817,104068,251,gene
219,103817,104068,251,CDS
220,104147,104776,629,gene
221,104147,104776,629,CDS
222,104771,105094,323,gene
223,104771,105094,323,CDS
224,105189,105704,515,gene
225,105189,105704,515,CDS
226,105701,106255,554,gene
227,105701,106255,554,CDS
228,106399,107604,1205,gene
229,106399,107604,1205,CDS
230,107822,108862,1040,gene
231,107822,108862,1040,CDS
232,108893,110371,1478,gene
233,108893,110371,1478,CDS
234,110368,110973,605,gene
235,110368,110973,605,CDS
236,111015,111974,959,gene
237,111015,111974,959,CDS
238,111980,112996,1016,gene
239,111980,112996,1016,CDS
240,113022,114545,1523,gene
241,113022,114545,1523,CDS
242,114549,116477,1928,gene
243,114549,116477,1928,CDS
244,116536,117240,704,gene
245,116536,117240,704,CDS
246,117242,118750,1508,gene
247,117242,118750,1508,CDS
248,118747,120234,1487,gene
249,118747,120234,1487,CDS
250,120314,122122,1808,gene
251,120314,122122,1808,CDS
252,122148,123911,1763,gene
253,122148,123911,1763,CDS
254,123919,124416,497,gene
255,123919,124416,497,CDS
256,124435,125103,668,gene
257,124435,125103,668,CDS
258,125121,125819,698,gene
259,125121,125819,698,CDS
260,125837,126523,686,gene
261,125837,126523,686,CDS
262,126706,127635,929,gene
263,126706,127635,929,CDS
264,127754,128605,851,gene
265,127754,128605,851,CDS
266,128656,129615,959,gene
267,128656,129615,959,CDS
268,129607,130149,542,gene
269,129607,130149,542,CDS
270,130366,131544,1178,gene
271,130366,131544,1178,CDS
272,131633,131998,365,gene
273,131633,131998,365,CDS
274,131995,132750,755,gene
275,131995,132750,755,CDS
276,132781,133176,395,gene
277,132781,133176,395,CDS
278,133209,134228,1019,gene
279,133209,134228,1019,CDS
280,134586,135872,1286,gene
281,134586,135872,1286,CDS
282,135865,137001,1136,gene
283,135865,137001,1136,CDS
284,137078,137551,473,gene
285,137078,137551,473,CDS
286,137616,138134,518,gene
287,137616,138134,518,CDS
288,138191,141544,3353,gene
289,138191,141544,3353,CDS
290,141619,142947,1328,gene
291,141619,142947,1328,CDS
292,143077,143535,458,gene
293,143077,143535,458,CDS
294,143539,144495,956,gene
295,143539,144495,956,CDS
296,145104,146801,1697,gene
297,145104,146801,1697,CDS
298,146833,148578,1745,gene
299,146833,148578,1745,CDS
300,148590,148994,404,gene
301,148590,148994,404,CDS
302,149371,149748,377,gene
303,149371,149748,377,CDS
304,149895,151028,1133,gene
305,149895,151028,1133,CDS
306,151167,151538,371,gene
307,151167,151538,371,CDS
308,151690,152169,479,gene
309,151690,152169,479,CDS
310,152514,153659,1145,gene
311,152514,153659,1145,CDS
312,154075,154782,707,gene
313,154075,154782,707,CDS
314,154763,155611,848,gene
315,154763,155611,848,CDS
316,156003,156797,794,gene
317,156003,156797,794,CDS
318,156868,157590,722,gene
319,156868,157590,722,CDS
320,157576,159222,1646,gene
321,157576,159222,1646,CDS
322,159219,160148,929,gene
323,159219,160148,929,CDS
324,160153,161559,1406,gene
325,160153,161559,1406,CDS
326,161930,163387,1457,gene
327,161930,163387,1457,CDS
328,163634,166012,2378,gene
329,163634,166012,2378,CDS
330,166084,166791,707,gene
331,166084,166791,707,CDS
332,166817,167467,650,gene
333,166817,167467,650,CDS
334,167427,167726,299,gene
335,167427,167726,299,CDS
336,167846,169594,1748,gene
337,167846,169594,1748,CDS
338,169566,170330,764,gene
339,169566,170330,764,CDS
340,170327,170611,284,gene
341,170327,170611,284,CDS
342,170974,173289,2315,gene
343,170974,173289,2315,CDS
344,173514,174665,1151,gene
345,173514,174665,1151,CDS
346,174763,175779,1016,gene
347,174763,175779,1016,CDS
348,175776,177200,1424,gene
349,175776,177200,1424,CDS
350,177200,178186,986,gene
351,177200,178186,986,CDS
352,178179,179123,944,gene
353,178179,179123,944,CDS
354,179127,179639,512,gene
355,179127,179639,512,CDS
356,179938,180258,320,gene
357,179938,180258,320,CDS
358,180503,180688,185,gene
359,180503,180688,185,CDS
360,180978,181598,620,gene
361,180978,181598,620,CDS
362,181591,181842,251,gene
363,181591,181842,251,CDS
364,181860,182795,935,gene
365,181860,182795,935,CDS
366,182782,183504,722,gene
367,182782,183504,722,CDS
368,183756,184055,299,gene
369,183756,184055,299,CDS
370,184685,184912,227,gene
371,184685,184912,227,CDS
372,184899,185240,341,gene
373,184899,185240,341,CDS
374,185322,186470,1148,gene
375,185322,186470,1148,CDS
376,186655,187059,404,gene
377,186655,187059,404,CDS
378,187179,189941,2762,gene
379,187179,189941,2762,CDS
380,189934,190266,332,gene
381,189934,190266,332,CDS
382,190514,191689,1175,gene
